对象Id,58,压缩前单元数,1362,压缩后单元数,1357,单元数差异率,0.00367107195301028,语义变化率,0.00807635829662261
对象Id,211,压缩前单元数,782,压缩后单元数,782,单元数差异率,0,语义变化率,0
对象Id,431,压缩前单元数,1079,压缩后单元数,1078,单元数差异率,0.00092678405931418,语义变化率,0.00092678405931418
对象Id,427,压缩前单元数,1555,压缩后单元数,1554,单元数差异率,0.000643086816720257,语义变化率,0.00192926045016077
对象Id,205,压缩前单元数,1731,压缩后单元数,1722,单元数差异率,0.00519930675909879,语义变化率,0.00519930675909879
对象Id,189,压缩前单元数,1416,压缩后单元数,1417,单元数差异率,0.000706214689265537,语义变化率,0.000706214689265537
对象Id,304,压缩前单元数,1004,压缩后单元数,1003,单元数差异率,0.00099601593625498,语义变化率,0.00298804780876494
对象Id,62,压缩前单元数,898,压缩后单元数,899,单元数差异率,0.00111358574610245,语义变化率,0.00556792873051225
对象Id,91,压缩前单元数,315,压缩后单元数,316,单元数差异率,0.00317460317460317,语义变化率,0.00952380952380952
平均单元数差异率,0.00166338758976694,平均语义变化率,0.00461119664482209
